Which of the following types of ticketed experience have you *attended in the past 5 years*?,"And overall, *how often do you go* to these types of activities?",Who do you typically *spend your free time with*?,And would you mind telling us *your age*?,"This experience is *inspired by TV game shows and escape rooms*.

It* *combines *thrills* with physical and mental *challenges*.

You go to a *purpose-built venue* with *2 to 15 other people*, 
and you all play *a series of minigames*. 

Right off the bat, does this *sound like something you would do*?",Did that description *make you think of any* of the following themes?,Did that description *make you think of any* of the following themes?,"*Welcome to Prison Island.*

*You have 60 minutes* to beat challenges in *12 different cells* - each *a different minigame*.

To what extent *would you like to go *to this?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

How do you think it compares *versus Prison Island*?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

To what extent *would you like to go *to this?","*Welcome to Prison Island*.

*You have 60 minutes* to beat challenges in *12 different cells* - each *a different minigame.*

How do you think it compares *versus* *BRKThrough*?","*It's Glow or Go!*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*,

and whoever loses gets covered in paint!

To what extent *would you like to go* to this?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame.*

How do you think it compares *versus Glow or Go*?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

To what extent *would you like to go* to this?","*It's Glow or Go!*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*, 

and whoever loses gets covered in paint!

How do you think it compares *versus BRKThrough*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?",And which one do you think *most people would prefer*?,And which one do you think *most people would prefer*?,Who would you expect to *have a better time at Prison Island*?,And how much would you expect *one ticket* *for* *Prison Island to cost*?,Who would you expect to *have a better time at BRKThrough*?,And how much would you expect *one ticket* *for* *BRKThrough to cost*?,Who would you expect to *have a better time at Glow or Go*?,And how much would you expect *one ticket* *for* *Glow or Go to cost*?,"*Alright that's all! *No more questions from our side.

Your* $15 gift code is on the next page*.

Make sure to *hit the button to record your answers *and complete the survey.

If you'd like to *share any closing thoughts*, type them here!",idu,c,ct,g,v,j,Submitted At,Token
"*Immersive Experiences*, *Talks / Conferences*, *Nightlife / Festivals*, *Movies / Cinema*, *Theatre / Performances*, *Music Concerts*, *Exhibitions / Museums*, *Comedy Shows*",*Once or twice a month*,"*My child(ren)*, *Partner*, *Friends* - from *Elsewhere*, Other* family*",*35-44*,"I know *people who would* *like* this, *I knew this* but *not for me*",,"*Fairground*, *Videogame*, *Arcade*",,3,,,,,,,Prison Island is *slightly better*,,,,,,,,"*Friend gatherings / Birthdays*, *Work groups / Teambuilding*, *Young groups of friends*",25,,,,46274711,52,236,a,v,j,6/6/2026 16:21:16,yk9o1848fw98oe2yk9o6be6ppe282e0c
*Immersive Experiences*,*Once or twice a year*,,*45-54*,I've *done this myself *in the past,,*Heist*,,,4,3,,,,,,Prison Island is *slightly better*,,,*Prison Island*,,*Mature groups of friends*,30,,,,,,99523528,52,236,b,n,j,6/6/2026 16:22:21,d76effn2tje7ehp0fmkssd76efflusxi
"*Movies / Cinema*, *Exhibitions / Museums*, *Comedy Shows*, *Immersive Experiences*",*Every other month*,"*My child(ren)*, *Friends* - from *School*",*45-54*,*I knew this *and am* interested*,"*Heist*, *Videogame*",,,,3,3,,,,,,They're *about the same*,,,*BRKThrough*,,,,*Work groups / Teambuilding*,30,,,,96354490,21,236,b,n,l,6/6/2026 16:24:03,hdavmespuulcf4bgfblshdavmegl1k4m
*Theatre / Performances*,*Every other month*,,*45-54*,*Just found out* but *not for me*,,*Videogame*,,,,,1,3,,,,,They're *about the same*,,,*Glow or Go*,,,,,"*Work groups / Teambuilding*, *Young groups of friends*, *School trips*",35,,57945253,52,236,c,v,j,6/6/2026 16:24:21,khx3i1mfzi2ktj1r2ezkhx3ivsq6o53d
"*Comedy Shows*, *Music Concerts*, *Theatre / Performances*, *Immersive Experiences*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*",*35-44*,*Just found out* but *not for me*,*Videogame*,,1,,,,,,,,They're *about the same*,,,,,,,,"*Young groups of friends*, *Work groups / Teambuilding*, *Families (with kids)*",20,,,,100410535,21,236,a,n,l,6/6/2026 16:25:10,kkm8471iitgpyuxw2o78kkm8472bp0c0
"*Exhibitions / Museums*, *Music Concerts*, *Theatre / Performances*, *Nightlife / Festivals*",*Once or twice a year*,*Partner*,*Skip question*,I know *people who would* *like* this,,*Heist*,,,,,,,2,1,,,,,,,,,,,,,,58446726,52,236,d,n,j,1/1/0001 0:00:00,jt3utu7qw47ibq3apjt3utucrme4oqgu
"*Immersive Experiences*, *Exhibitions / Museums*, *Comedy Shows*",*Every other month*,"*Partner*, *My child(ren)*",*65-74*,"Don't know,* not sure I get it*, I've *done this myself *in the past",*Jail*,,,,,,1,5,,,,,,*BRKThrough *is* much better*,,,,,"*Work groups / Teambuilding*, *Mature groups of friends*, *Families (with kids)*, *Tourists*, *Friend gatherings / Birthdays*",50,,,,30413567,16,236,c,n,l,6/6/2026 16:26:48,sty0vd7ee9w30ejuv8sty1l9danu4h3f
"*Music Concerts*, *Immersive Experiences*, *Exhibitions / Museums*",*Every other month*,,*55-64*,*Just found out* but *not for me*,,,,,,,,,1,,,,,,,,,,,,,,,33526166,21,236,d,n,l,1/1/0001 0:00:00,c1qdwgrail8u9c1qdwzar9es8ckmfaqa
"*Music Concerts*, *Immersive Experiences*, *Exhibitions / Museums*",*Every other month*,,*55-64*,*Just found out* but *not for me*,,,,,,,,,1,,,,,They're *about the same*,,*Glow or Go*,,,,,,25,,33526166,21,236,d,n,l,6/6/2026 16:28:51,c1qdwgrail8u9c1qdwzar9es8ckmfaqa
"*Theatre / Performances*, *Exhibitions / Museums*",*Once or twice a month*,"Other* family*, *Friends* - from *Elsewhere*, *Partner*",*45-54*,"Don't know,* not sure I get it*",,*Videogame*,,3,,,,,,,BRKThrough is *slightly better*,,,,*Prison Island*,,"*Friend gatherings / Birthdays*, *Work groups / Teambuilding*, *Families (with kids)*",30,,,,,,46098475,6,236,a,n,j,6/6/2026 16:32:10,69dl9f8y05rhvgtuw5pk69dl9f8ybt2j
"*Movies / Cinema*, *Music Concerts*, *Immersive Experiences*, *Nightlife / Festivals*, *Theatre / Performances*, *Sports / Competitions*, *Exhibitions / Museums*, *Talks / Conferences*, *Comedy Shows*",*Once a week*,"*Sibling(s)*, *Parent(s)*, *Partner*, *Friends* - from *School*, Other* family*",*35-44*,I've *done this myself *in the past,,"*Arcade*, *Clocks*, *Videogame*, *Heist*",,,,,,,4,2,,,,,,,,,,,,,,82440520,6,236,d,n,j,1/1/0001 0:00:00,uv1o3napyndru332guv19ably79ahdvu
"*Music Concerts*, *Talks / Conferences*, *Movies / Cinema*, *Exhibitions / Museums*, *Sports / Competitions*, *Comedy Shows*, *Theatre / Performances*",*Once or twice a year*,"*Partner*, *Friends* - from *Elsewhere*, *Friends* - from *Work*, *Friends* - from *School*",*35-44*,*Just found out* and am *interested*,"*Space*, *Arcade*, *Fairground*, *Clocks*, *Sports*, *Heist*, *Videogame*",,,,,,,,4,,,,,,,,,,,,,,,63946597,52,236,d,n,l,1/1/0001 0:00:00,6kxldcb30glr8joxb4r6kxqna3iwgel3
"*Music Concerts*, *Talks / Conferences*, *Movies / Cinema*, *Exhibitions / Museums*, *Sports / Competitions*, *Comedy Shows*, *Theatre / Performances*",*Once or twice a year*,"*Partner*, *Friends* - from *Elsewhere*, *Friends* - from *Work*, *Friends* - from *School*",*35-44*,*Just found out* and am *interested*,"*Space*, *Arcade*, *Fairground*, *Clocks*, *Sports*, *Heist*, *Videogame*",,,,,,,,4,4,,,,,,,,,,,,,,63946597,52,236,d,n,l,1/1/0001 0:00:00,6kxldcb30glr8joxb4r6kxqna3iwgel3
"*Movies / Cinema*, *Music Concerts*, *Immersive Experiences*, *Nightlife / Festivals*, *Theatre / Performances*, *Sports / Competitions*, *Exhibitions / Museums*, *Talks / Conferences*, *Comedy Shows*",*Once a week*,"*Sibling(s)*, *Parent(s)*, *Partner*, *Friends* - from *School*, Other* family*",*35-44*,I've *done this myself *in the past,,"*Arcade*, *Clocks*, *Videogame*, *Heist*",,,,,,,4,2,,,,BRKThrough is *slightly better*,,*BRKThrough*,,,"*Families (with kids)*, *Families (only adults)*, *Young groups of friends*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*, *Mature groups of friends*",20,,,,82440520,6,236,d,n,j,6/6/2026 16:34:11,uv1o3napyndru332guv19ably79ahdvu
"*Music Concerts*, *Talks / Conferences*, *Movies / Cinema*, *Exhibitions / Museums*, *Sports / Competitions*, *Comedy Shows*, *Theatre / Performances*",*Once or twice a year*,"*Partner*, *Friends* - from *Elsewhere*, *Friends* - from *Work*, *Friends* - from *School*",*35-44*,*Just found out* and am *interested*,"*Space*, *Arcade*, *Fairground*, *Clocks*, *Sports*, *Heist*, *Videogame*",,,,,,,,4,4,,,,BRKThrough is *slightly better*,,*BRKThrough*,,,"*Young groups of friends*, *Mature groups of friends*, *Tourists*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*",20,,,None,63946597,52,236,d,n,l,6/6/2026 16:35:04,6kxldcb30glr8joxb4r6kxqna3iwgel3
"*Movies / Cinema*, *Immersive Experiences*, *Comedy Shows*, *Exhibitions / Museums*, *Nightlife / Festivals*, *Theatre / Performances*, *Sports / Competitions*, *Music Concerts*",*Once or twice a month*,,*45-54*,*Just found out* and am *interested*,,"*Videogame*, *Heist*",3,3,,,,,,,Prison Island is *slightly better*,,,,,,,,"*Young groups of friends*, *Friend gatherings / Birthdays*, *Families (with kids)*",45,,,,25740905,6,236,a,v,j,6/6/2026 16:37:18,22tzmtzo4ucrza49xjca22tzmtnet988
"*Nightlife / Festivals*, *Comedy Shows*, *Sports / Competitions*, *Movies / Cinema*, *Exhibitions / Museums*",*Once a week*,"*Partner*, *My child(ren)*",*35-44*,*Just found out* but *not for me*,*Heist*,,,,5,3,,,,,,Prison Island is *slightly better*,,,*Prison Island*,,"*Mature groups of friends*, *Families (only adults)*, *Work groups / Teambuilding*",50,,,,,,100397805,21,236,b,n,l,6/6/2026 16:37:33,vh0tll8d2rgpivmvh0tlwuspveck02fi
"*Movies / Cinema*, *Exhibitions / Museums*, *Music Concerts*",*Every other month*,"*Sibling(s)*, *Friends* - from *Work*",*18-24*,*Just found out* and am *interested*,,"*Bowling Alley*, *Arcade*",,,3,4,,,,,,Prison Island is *slightly better*,,,*Prison Island*,,"*Young groups of friends*, *Friend gatherings / Birthdays*",30,,,,,,61652387,52,236,b,v,j,6/6/2026 16:39:47,gzzhu7pydi1vtohpuwxb2gzzhuc63rmh
"*Theatre / Performances*, *Nightlife / Festivals*, *Exhibitions / Museums*, *Comedy Shows*, *Sports / Competitions*, *Music Concerts*, *Movies / Cinema*, *Immersive Experiences*",*More than once a week*,"*Partner*, *My child(ren)*",*45-54*,Actually I *really enjoy these*,*Fairground*,,,,,,,,5,3,,,,,,,,,,,,,,31931733,54,236,d,n,l,1/1/0001 0:00:00,6cn6xhd51r7dg35n6cnvnax1dh99bylh
"*Theatre / Performances*, *Nightlife / Festivals*, *Exhibitions / Museums*, *Comedy Shows*, *Sports / Competitions*, *Music Concerts*, *Movies / Cinema*, *Immersive Experiences*",*More than once a week*,"*Partner*, *My child(ren)*",*45-54*,Actually I *really enjoy these*,*Fairground*,,,,,,,,5,3,,,They're *about the same*,,,*Glow or Go*,,,,,*Young groups of friends*,28,,31931733,54,236,d,n,l,6/6/2026 16:41:57,6cn6xhd51r7dg35n6cnvnax1dh99bylh
"*Immersive Experiences*, *Nightlife / Festivals*, *Comedy Shows*, *Music Concerts*, *Movies / Cinema*",*Every other month*,"*Partner*, *My child(ren)*, *Sibling(s)*, *Friends* - from *Work*",*45-54*,*Just found out* and am *interested*,,"*Heist*, *Videogame*",,,,,3,3,,,,,,They're *about the same*,,*BRKThrough*,,,"*Tourists*, *Families (with kids)*, *Friend gatherings / Birthdays*, *Mature groups of friends*, *Work groups / Teambuilding*",50,,,,26869271,21,236,c,v,j,6/6/2026 16:42:51,03zhjyh7e0g2aiz03zs6w5shvacof5v1
"*Sports / Competitions*, *Movies / Cinema*, *Theatre / Performances*",*Once or twice a month*,,*45-54*,I know *people who would* *like* this,"*Videogame*, *Heist*",,,,,,2,,,,,,,They're *about the same*,,,,,*Young groups of friends*,40,,,,99603439,21,236,c,n,l,6/6/2026 16:43:13,s4ubh69lebzahaf5hr89s4ubh6zctra6
"*Sports / Competitions*, *Theatre / Performances*, *Immersive Experiences*",*Every other month*,"*Parent(s)*, *Sibling(s)*, *Partner*",*35-44*,*I knew this *and am* interested*,"*Clocks*, *Sports*, *Arcade*",,,,,,3,2,,,,,,Glow or Go is *slightly better*,,*Glow or Go*,,,,,*Friend gatherings / Birthdays*,30,Chad palmer,96675651,54,236,c,n,l,6/6/2026 16:43:25,vhrcqjzok55xfix7yvhrcq0wx13n8vg6
"*Sports / Competitions*, *Music Concerts*, *Movies / Cinema*, *Comedy Shows*, *Theatre / Performances*, *Nightlife / Festivals*",*Every other week*,"*Friends* - from *School*, *Friends* - from *Work*, *Partner*, *My child(ren)*, Other* family*",*35-44*,*Just found out* and am *interested*,,"*Heist*, *Clocks*, *Sports*",,,,,,,4,,,,,,,,,,,,,,,30609211,16,236,d,v,j,1/1/0001 0:00:00,gzh8tjdl7m5dlqyeyswclgzh8tjdesga
"*Theatre / Performances*, *Immersive Experiences*, *Exhibitions / Museums*, *Movies / Cinema*, *Music Concerts*, *Talks / Conferences*",*Every other month*,Other* family*,*65-74*,"*I knew this *and am* interested*, I know *people who do* this",,"*Heist*, *Videogame*, *Clocks*",,,4,3,,,,,,They're *about the same*,,,*Prison Island*,,"*Friend gatherings / Birthdays*, *Tourists*, *Families (with kids)*, *Young groups of friends*, *Mature groups of friends*",75,,,,,Prison island looks like it would be more physical than BRKthrough. That could be a limiting factor for some people. If there were an option to avoid climbing it would be more accessible to more people.,79855599,16,236,b,v,j,6/6/2026 16:44:18,q94vna0vfzpi60jcxq94v8bu42q8mtkp
"*Sports / Competitions*, *Music Concerts*, *Movies / Cinema*, *Comedy Shows*, *Theatre / Performances*, *Nightlife / Festivals*",*Every other week*,"*Friends* - from *School*, *Friends* - from *Work*, *Partner*, *My child(ren)*, Other* family*",*35-44*,*Just found out* and am *interested*,,"*Heist*, *Clocks*, *Sports*",,,,,,,4,,,,*BRKThrough *is* much better*,,,,,,"*Young groups of friends*, *Families (only adults)*, *Mature groups of friends*",18,,,,30609211,16,236,d,v,j,6/6/2026 16:44:57,gzh8tjdl7m5dlqyeyswclgzh8tjdesga
"*Immersive Experiences*, *Exhibitions / Museums*, *Music Concerts*, *Theatre / Performances*",,"*Partner*, *Sibling(s)*, *Parent(s)*, *Friends* - from *School*, *Friends* - from *Elsewhere*",*25-34*,*Just found out* and am *interested*,"*Heist*, *Videogame*, *Arcade*",,,,,,,,5,,,,,,,,,,,,,,,49619211,6,236,d,v,l,1/1/0001 0:00:00,ucvlboght3glb6b48lkzucvlbbhkcfb2
"*Immersive Experiences*, *Exhibitions / Museums*, *Music Concerts*, *Theatre / Performances*",,"*Partner*, *Sibling(s)*, *Parent(s)*, *Friends* - from *School*, *Friends* - from *Elsewhere*",*25-34*,*Just found out* and am *interested*,"*Heist*, *Videogame*, *Arcade*",,,,,,,,5,,,,They're *about the same*,,,*BRKThrough*,,,,30,,,N/A,49619211,6,236,d,v,l,6/6/2026 16:46:31,ucvlboght3glb6b48lkzucvlbbhkcfb2
*Immersive Experiences*,*Once or twice a year*,,*55-64*,I know *people who would* *like* this,,"*Videogame*, *Sports*",,,,,,,4,3,,,,,,,,,,,,,,95197604,21,236,d,v,j,1/1/0001 0:00:00,9i8udwxrqjikv40ks9i8udwg4ue0pe4t
"*Exhibitions / Museums*, *Music Concerts*, *Movies / Cinema*, *Immersive Experiences*",*Every other month*,*Partner*,*75-84*,*Just found out* but *not for me*,"*Jail*, *Heist*",,1,2,,,,,,,They're *about the same*,,,,*BRKThrough*,,,,"*Friend gatherings / Birthdays*, *Work groups / Teambuilding*, *Tourists*, *Families (with kids)*",30,,,,63241135,21,236,a,n,l,6/6/2026 16:48:16,bsrjbowroi3duowgn4bsrjbhi8etuige
"*Movies / Cinema*, *Sports / Competitions*, *Music Concerts*, *Exhibitions / Museums*, *Nightlife / Festivals*",*Once a week*,,*25-34*,*Just found out* and am *interested*,*Heist*,,,,4,4,,,,,,They're *about the same*,,,*Prison Island*,,"*Young groups of friends*, *Friend gatherings / Birthdays*, *Mature groups of friends*, *Families (only adults)*",35,,,,,,43065349,114,236,b,n,l,6/6/2026 16:51:23,ts9zgyz7qs1gg8zkvagts9znjfy3vbo3
"*Immersive Experiences*, *Theatre / Performances*, *Movies / Cinema*, *Exhibitions / Museums*, *Talks / Conferences*",*Once or twice a month*,,*45-54*,"*I knew this *and am* interested*, I know *people who would* *like* this, I know *people who do* this, I've *done this myself *in the past, Actually I *really enjoy these*",,"*Heist*, *Clocks*",4,4,,,,,,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,,"*Young groups of friends*, *Tourists*, *Families (with kids)*, *Friend gatherings / Birthdays*, *School trips*",30,,,"Both sound like fun scavenger hunts/escape room experiences, but prison break seems definitely less family friendly due to the theme.",73892017,6,236,a,n,j,6/6/2026 16:53:39,gs9h2ro7trdj4dkvkgs9h2tujhdrfdg1
"*Theatre / Performances*, *Immersive Experiences*, *Exhibitions / Museums*, *Nightlife / Festivals*, *Talks / Conferences*, *Music Concerts*, *Comedy Shows*",*Once or twice a month*,"*My child(ren)*, *Friends* - from *Elsewhere*",*45-54*,*Just found out* and am *interested*,"*Space*, *Heist*, *Bowling Alley*, *Sports*, *Clocks*, *Videogame*, *Dance*, *Jail*, *Ocean*",,,,,,,,5,,,,,,,,,,,,,,,50939440,52,236,d,n,l,1/1/0001 0:00:00,ieizdwzylj56hvtfpieizha0s9crlt2y
"*Theatre / Performances*, *Immersive Experiences*, *Exhibitions / Museums*, *Nightlife / Festivals*, *Talks / Conferences*, *Music Concerts*, *Comedy Shows*",*Once or twice a month*,"*My child(ren)*, *Friends* - from *Elsewhere*",*45-54*,*Just found out* and am *interested*,"*Space*, *Heist*, *Bowling Alley*, *Sports*, *Clocks*, *Videogame*, *Dance*, *Jail*, *Ocean*",,,,,,,,5,,,,,*BRKThrough *is* much better*,,*BRKThrough*,,,"*Mature groups of friends*, *Young groups of friends*, *School trips*",40,,,Cool!,50939440,52,236,d,n,l,6/6/2026 16:55:50,ieizdwzylj56hvtfpieizha0s9crlt2y
"*Exhibitions / Museums*, *Immersive Experiences*, *Theatre / Performances*, *Talks / Conferences*, *Nightlife / Festivals*, *Movies / Cinema*, *Music Concerts*",*Every other month*,"*My child(ren)*, *Partner*, *Friends* - from *Elsewhere*",*45-54*,"I've *done this myself *in the past, Actually I *really enjoy these*, *I knew this *and am* interested*, I know *people who do* this","*Videogame*, *Arcade*",,,,4,4,,,,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,,"*Friend gatherings / Birthdays*, *Families (with kids)*, *Young groups of friends*, *School trips*",12,,,,100167777,21,236,b,n,l,6/6/2026 16:58:48,9gyq0irtvrl66o2of9gyq0btpzcwt545
"*Exhibitions / Museums*, *Comedy Shows*, *Immersive Experiences*, *Talks / Conferences*, *Nightlife / Festivals*, *Music Concerts*, *Theatre / Performances*",*Once or twice a month*,,*Skip question*,*Just found out* and am *interested*,,"*Space*, *Heist*, *Videogame*, *Arcade*, *Fairground*",,,4,1,,,,,,*BRKThrough *is* much better*,,,*BRKThrough*,,,,"*Families (with kids)*, *Mature groups of friends*, *Young groups of friends*, *Friend gatherings / Birthdays*, *Families (only adults)*, *Tourists*",50,,,,31600256,16,236,b,v,j,6/6/2026 17:01:48,igk2wsalhuwzn7c8d3ytigk2wsalro8q
